,SOROS FUND MANAGEMENT LLC,PAULSON & CO.INC. ,TIGER GLOBAL MANAGEMENT LLC,BERKSHIRE HATHAWAY INC,Algo 1,Algo 2,SP 500 Close,JOHN KELLY FUND
2018-05-14,0.0,0.0,0.0,0.0,0.0009148572982968,0.0016348438954715,0.006889302771579953,1.544082743039814e-05
2018-05-15,-0.0007258951883974,-0.0014088251086951,-0.0031894869534893,-0.0146059182556181,-0.0011347640786478,-0.0011388145155798,-0.004044136552970534,-0.01006357689096149
2018-05-16,0.0086372496815008,0.0062443795687019,0.005479526715449,0.004309951740359,-0.0023264583223177,0.003340813173031,0.0008565767077308717,0.009403240182783268
2018-05-17,-0.0019554898482433,0.0025238862113898,-0.0062671426703295,-0.0051397703110482,-0.006949258300842,0.0052048735763854,0.0026391740417330833,-0.001594823495449556
2018-05-18,-0.0043573402816527,-0.0026724722605544,-0.0128318947916761,-0.0022119085234137,0.0025573761793454,-0.002496362609348,-0.00733257470700821,-0.00606061617969759
2018-05-21,0.0025033937154796,-0.001195254097047,-0.0011529443740153,0.0103699389459641,-0.0030923159640335,0.0049239052457098,0.0031456005637855444,0.0075998432810974546
2018-05-22,-0.0023452003618733,0.0011677864066508,-0.0002396535730574,-0.0024545894372361,0.011233874151621,-0.0056281731557414,-0.0032378562099154573,-0.004961678410338233
2018-05-23,-0.0008987072156005,-0.0006585518866333,0.0050618310697503,0.0111077323715129,-0.0020931693455369,0.0019624766744631,0.002027304454937262,0.003850301312323667
2018-05-24,-0.0021598731520328,-0.0022293461142168,0.0008800720205921,0.002245333980654,0.0010754394128114,-0.0011211912752551,0.0023628152410770653,0.0007511765648715585
2018-05-25,0.0021459323544108,0.0021602180693875,0.0082994914588945,-0.0009161259763232,-0.0011418605911237,-0.0016050956012402,0.011699493653944737,-0.0012321760368129893
2018-05-29,-0.0107139412092611,-0.0053028908034797,-0.0093725742409175,-0.009612724501286,-0.0001791167473427,-0.0055367853131876,-0.01253666469653203,-0.00867795923085394
2018-05-30,0.0046528982246956,0.0041306481509035,0.019949822828378,0.0069136150859512,-0.0001321060416736,0.01175636687674,0.006927219833879894,0.006555316183931125
2018-05-31,-0.0080537112630738,-0.0060341030577475,-0.0174069594792759,0.0022841621368632,0.0036730585850819,-0.0046730460205749,-0.010732752631078535,0.0019086325337533958
2018-06-01,0.00521225387095,0.003764353989931,0.0051580803356605,0.0134897408164043,-0.0039794149861199,0.0072119574393971,-0.004459621314441553,0.014747132828011877
2018-06-04,0.0059888733839361,-0.0043680539569911,0.0110733459956842,0.0095766156806702,0.0021131444816119,-0.0003350213874505,-0.0007021245634459827,0.011197954107504163
2018-06-05,0.0007576304156247,0.0069783161104464,-0.0061923826278506,0.0095526624255619,0.0022427590266043,0.0048872132398302,-0.008494598445362156,0.0013709437226846477
2018-06-06,0.0107182734704385,0.0099150934057119,0.0043353014581817,0.0105874747617527,-0.0090996045684652,0.0049581538499876,0.0007147059779017972,3.8928470970348845e-05
2018-06-07,-0.0009234858488313,0.0091950545715373,-0.0020862211530684,-0.0136336395125709,0.008275050744601,-0.0024547234695003,-0.0031161952191952613,0.003569183557514751
2018-06-08,0.0017949559480165,0.0078051247919075,0.0100826337942925,0.0085746657126521,-0.0013529843411157,0.0012024253066676,-0.0010675772825304852,-0.001961149687692972
2018-06-11,0.0052653463121443,0.0045337254941726,0.0161312096951138,-0.0006087303092651,-0.0007406402470149,0.0016999354721578,-0.0017403161275274526,0.0031055042905090793
2018-06-12,0.0049783202936295,0.0004311057876167,0.0029661503921774,0.0117729779173547,0.0002673293390242,0.0014192289719331,0.004042325526096624,0.005201890407350159
2018-06-13,-0.0061183259141142,-0.000856140336197,-0.0021148506278749,-0.0075633640661074,0.0032771168680336,-0.0043218871984233,-0.002465417665472147,-0.005317178902467893
2018-06-14,0.0049356039132109,-3.861006278826906e-05,0.0063988047771168,0.0185291059625056,-0.0037153365995107,0.0094543919063857,0.0010181101285768879,0.006914748024436404
2018-06-15,-0.0018776196510145,-0.0006264075459432,0.011291370636155,-0.0070208252275894,-0.0041245939843452,-2.858234411290573e-05,0.002130689499774574,0.00019146914982748337
2018-06-18,0.000310720739475,-0.0002630891384365,-0.0081149137232382,0.0027791427562597,-0.0037917037037109,-0.0002934549786588,0.0040396873947996514,0.004171678141758561
2018-06-19,-0.0034627697571553,0.001863549205481,0.0098209985178128,-0.0056931406108806,-0.0068893200569453,-4.768673750810986e-05,-0.001709234927655623,-0.0047867770124223235
2018-06-20,0.0044063075201621,0.0056945831021251,0.0095433301497387,0.0075168411750963,0.0033164397444883,0.0067584083270751,0.006386011870126884,0.002684788137483333
