,housing_units,sale_price_sqr_foot,gross_rent
0,372560,369.34435332942974,1239.0
1,374507,341.9034291801058,1530.0
2,376454,399.3899684488192,2324.0
3,378401,483.6003042611177,2971.0
4,380348,556.2772734475082,3528.0
5,382295,632.5403520321692,3739.0
6,384242,697.643709116537,4390.0
